BusinessTeam,Brand Name,Sales RPT Line,Product Name CN,Product Name EN,Package,Size,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
EAST,JW Red,JWRed Label,____(__)______*200cl,JWRED 200CL 40¡ ETUI C6*****************,6,200,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST,JW Red,JWRed Label,____(__)______*37.5cl,JWRED 37.5CL - C24,24,37.5,27,13,52,15,24,23,11,77,80,31,267,33,338,70,39,25,203,106,24,4,7,74,0,0,19,60,53,108,25,86,120,0,3,13,0,0
EAST,JW Red,JWRed Label,____(__)______*450cl,JWALKER RED 450CL 40¡ ETUI C3,3,450,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EAST,JW Red,JWRed Label,____(__)______*5cl,JWRED 5CL 40¡ COMPOSANT C192,192,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,273,33,36,0,0,0,4416,0,0,960,1362,1174,576,192,70,60,192,192,0,0,0
EAST,JW Red,JWRed Label,______________ 24x20cl,J Wlkr Red 20cl 24X01,24,20,3,0,0,0,1098,16,51,2970,1730,1739.5,1238,1991,9786,59,3629,89,75,73,58,0,0,138,7,0,9697,318,288,120,36,216,85,48,5580,309,10,0
EAST,JW Red,JWRed Label,______________ 3x3L,JW Red Label 3L*3 with cradle,3,300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
EAST,JW Red,JWRed Label,______________Pocket Scotch ___20,JWRL Pocket Scotch 20cl*6*8,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST,JW Red,JWRed Label Gift Box,___________________ C12 70cl+5c,JWRL F22 MAF Value Pack C12 70cl+5cl,12,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,300,0,0,0
E-COMMERCE,Gordon's,Gordon's,____ 70cl*12,GORDON'S 70CL C12,12,70,0,0,0,0,0,0,0,0,0,0,17114,28319,1935,639,243,604,742,137,1187,1562,1540,11201,11754,6669,10234,10633,1718,2004,7076,4058,3126,8562,6563,7068,7826,7627
E-COMMERCE,Gordon's,Gordon's,____*5cl,GORDON'S 5CL 40¡ C192*******************,192,5,104,73,74,43,40,19,149,82,34,55,0,0,41,86,31,37,22,0,39,27,15,59,49,35,14,5,1,0,0,0,0,0,0,0,0,0
E-COMMERCE,Gordon's,Gordon's,____*75cl,GORDON'S 75CL C12,12,75,4394,1725,1545,1308,1363,648,2163,1562,1264,1467,204,11,23,11,11,10,10,2,3,4,4621,7,5,2,1,0,5,0,0,1,0,0,0,12,0,899
E-COMMERCE,Gordon's,Gordon's,____35cl (2018____),Gordon's Gin 35CL 2018 Reno,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,110,398,280,165,339,265,263,196,307,371,693,230,642,859,724,1162,605,328
E-COMMERCE,Gordon's,Gordon's,__________ 12*70cl New,GORDON'S 70CL C12 NEW,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,385,582,572,193,964,341
E-COMMERCE,JW Black,JWBlack Label,____(__)______*200cl,JWBLACK 200CL - C6,6,200,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,759,203,187,192,266,142
E-COMMERCE,JW Black,JWBlack Label,____(__)______*37.5cl,JWBLACK 37.5CL - C24,24,37.5,505,180,175,111,134,304,134,218,176,108,184,202,286,189,110,114,123,620,192,142,140,147,173,1953,144,84,87,124,100,553,1368,2473,2626,1604,1680,1432
E-COMMERCE,JW Black,JWBlack Label,____(__)______*5cl,JWBLACK 5CL 40¡ COMPOSANT C192,192,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,85,436,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
E-COMMERCE,JW Black,JWBlack Label,____?__?12__________100cl*12,Johnnie Walker Black Label 100cl*12,12,100,0,0,0,0,0,0,0,0,0,0,6302,2138,2249,1227,1231,14075,1469,3041,775,1086,3017,5034,7351,4343,9046,3115,3189,1844,2527,2901,1845,2462,2557,3084,4750,3355
E-COMMERCE,JW Black,JWBlack Label,______12__________Pocket Scotch,JWBL Pocket Scotch 20cl*48,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,184,330,275,141,386,213,328,257,293,492,54
E-COMMERCE,JW Black,JWBlack Label,______12_________ 4x3L,J Wlkr Black 3L 12Y 04X01 without cradle,4,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
E-COMMERCE,JW Black,JWBlack Label,______12_________ 500__,JW Black Label 12Y Blended 500ML,12,50,0,0,1027,814,867,3317,1359,2563,2607,3075,7938,5086,5375,3742,2585,3285,1489,1678,1390,2391,3021,3850,6192,5921,10194,3913,5630,3614,4550,6575,3291,3270,6717,6694,8364,4766
E-COMMERCE,JW Black,JWBlack Label,______12_________20cl x24,J Wlkr Black 20cl 12Y 24X01,24,20,1235,626,663,532,818,1237,373,428,425,488,600,614,774,329,271,480,389,986,5746,414,548,563,796,675,173,1,2,6,15,0,0,0,0,0,0,0
E-COMMERCE,JW Black,JWBlack Label,____________  6*1.5_,J Wlkr Black 1.5L 12Y 06X01,6,150,754,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
